source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,ruwe,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame
6989290475763456,45.153526828148586,5.985359407396669,30.32189207190648,1182.9305,7.8996253,469455500,1.227266,5184.0874,4.4558,0.57980293,,0.9439168
8896496473276288,45.018454118784746,8.841118346808315,26.59872287086046,875.675,14.52822,689282391,1.1597306,3112.429,5.0115,0.005006942,,0.2429565
38535825266420352,59.97117351482536,13.428194355765902,29.427383789668923,1217.4701,13.709113,551141045,1.3176042,3180.1658,4.9588,0.008255072,,0.29931214
43656796377403776,56.97801068575886,16.757422704302424,30.98755600427789,1054.451,11.525294,1044250492,1.2043276,3381.9294,4.0758,0.03726059,,0.56207037
64217565032311808,55.11604294280841,21.244342220738915,26.884210216700644,652.0973,15.259333,1719491432,1.1709254,3055.3547,5.1112,0.002554516,,0.18036178
66892264508548864,58.04688243208994,25.162347138819527,25.606096459490097,942.3852,6.641129,1111767342,0.9703798,5941.645,4.0738,2.466319,1.087597,1.4820076
68553931516671488,54.87437762176911,24.96824115907829,62.65413168915791,1958.9789,11.595599,130655384,1.366583,3088.1282,4.2727,0.011577013,,0.37587637
95353122989849856,27.15384474857079,19.309340250309173,26.98412897484888,1415.5203,13.775201,416620986,1.157967,3257.616,4.9863,0.00873995,,0.32537737
95652018353917056,26.232401137403865,20.082682764562318,30.15346978670096,750.1124,6.1095624,324846062,1.303392,5515.974,4.0895,2.9441938,1.0900344,1.8789724
114807606854310400,42.23573189329947,26.712505529028515,29.36656416335345,1024.7537,14.204011,1791766721,1.294216,3146.3604,5.0198,0.0052751177,,0.24446142
145361317004090112,66.11124429891427,21.708928744134777,37.74944112944319,879.84503,15.116863,844065548,1.2878187,2946.586,5.1254,0.0017041585,,0.15813713
167837499341017600,57.22757902755356,29.23107270053164,27.417456277839943,921.77295,14.669613,577298118,1.1396172,3131.1006,5.0661,0.003882778,,0.21176825
168182196235710848,57.66590682714092,30.093877134238557,30.8813729393448,1044.6567,12.929799,679309048,1.3362654,3351.5498,4.9158,0.013460414,,0.39337692
188771135583573504,79.78833900872726,40.09609817127969,79.6021083335795,792.43976,4.5258846,1228720857,0.8881429,5761.5337,4.2455,1.8109827,0.9979292,1.3506571
204146774904236288,67.87303389851641,41.68563430969891,30.731214482781937,1578.1632,14.207105,25987134,1.0145073,3123.514,5.025,0.0049608964,,0.2405037
215394607057804800,84.37728760073475,51.3929084532406,27.656563982156374,1296.8921,8.617529,1031088094,0.9939906,4966.6987,4.5336,0.3736954,0.78842115,0.8255961
281294248784349184,78.08248210306571,59.15011664065279,27.08091869202178,1135.873,13.867913,567124163,1.3421099,3005.8083,4.3361,0.008663243,,0.34324005
301109819137394432,29.17392357643021,30.47626882077181,26.644820373230573,599.64716,15.159594,304759337,1.1088665,3026.0723,5.0657,0.0031146605,,0.2030338
362677900447403520,13.99239071752606,34.07958970264599,36.670984928766536,2031.0651,13.793482,570970698,1.1945063,3201.482,5.0634,0.0045981463,,0.22282429
372894425054283776,18.81305949939895,41.71807421170892,29.99222073727088,1226.1713,14.24035,1129748506,1.2378886,3087.2517,5.0008,0.005461494,,0.2582711
423259307520131328,1.6008896592213917,59.71164670918887,38.70348742580296,1534.1007,14.74051,434571392,1.1240181,3006.5444,5.132,0.0021263547,,0.16995308
451548332947465472,36.928375919762594,50.57849535230549,36.49077239176383,989.54877,14.75858,1125389783,1.0985442,2997.2927,5.1063,0.0024523158,,0.18366207
460050169170768128,47.1084352982644,57.01243950328008,30.82957529230661,1520.8048,6.507787,920961773,1.0048776,5874.301,4.2527,1.9109017,1.0342581,1.3345695
464460756989931136,42.8941888075774,59.374363805535815,27.53082588858385,1548.1486,13.86588,1230450227,1.1871573,3231.1152,4.992,0.0073991646,,0.2745337
471536354830504448,69.4681555111583,60.67630176290383,32.38513913422993,1361.1686,7.5985823,874772733,1.0958402,5465.065,4.4303,0.67650694,0.89708805,0.91768646
