aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est
4.0,current_1e-9,characterization,2592000.0,1e-09,85.08431250000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
4.0,nearterm_1e-10,characterization,2592000.0,1e-10,85.08431250000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
4.0,goal_1e-11,characterization,2592000.0,1e-11,85.08431250000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
6.0,current_1e-9,characterization,2592000.0,1e-09,56.72287500000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
6.0,nearterm_1e-10,characterization,2592000.0,1e-10,56.72287500000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
6.0,goal_1e-11,characterization,2592000.0,1e-11,56.72287500000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
8.0,current_1e-9,characterization,2592000.0,1e-09,42.542156250000005,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
8.0,nearterm_1e-10,characterization,2592000.0,1e-10,42.542156250000005,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
8.0,goal_1e-11,characterization,2592000.0,1e-11,42.542156250000005,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
15.0,current_1e-9,characterization,2592000.0,1e-09,22.68915,0.0,0.0003625,200,0,0.0,0.24,0.0,0.0,6666.666666666667
15.0,nearterm_1e-10,characterization,2592000.0,1e-10,22.68915,5.4999999999999995e-05,0.0003625,200,0,0.0,0.24,0.0026399999999999996,0.088,6666.666666666667
15.0,goal_1e-11,characterization,2592000.0,1e-11,22.68915,6.25e-05,0.0003625,200,0,0.0,0.24,0.003,0.1,6666.666666666667
30.0,current_1e-9,characterization,2592000.0,1e-09,11.344575,0.0006950000000000001,0.0064525,200,1,0.005,0.24,0.03336,1.112,6666.666666666667
30.0,nearterm_1e-10,characterization,2592000.0,1e-10,11.344575,0.0033075000000000005,0.0064525,200,2,0.01,0.24,0.15876,5.292000000000001,6666.666666666667
30.0,goal_1e-11,characterization,2592000.0,1e-11,11.344575,0.00364,0.0064525,200,2,0.01,0.24,0.17472,5.824,6666.666666666667
100.0,current_1e-9,characterization,2592000.0,1e-09,3.4033725000000006,0.007020000000000001,0.2138825,200,8,0.04,0.24,0.33696000000000004,11.232000000000001,6666.666666666667
100.0,nearterm_1e-10,characterization,2592000.0,1e-10,3.4033725000000006,0.10331,0.2138825,200,65,0.325,0.24,4.95888,165.296,6666.666666666667
100.0,goal_1e-11,characterization,2592000.0,1e-11,3.4033725000000006,0.1206325,0.2138825,200,68,0.34,0.24,5.79036,193.012,6666.666666666667
300.0,current_1e-9,characterization,2592000.0,1e-09,1.1344575000000001,0.16546749999999996,0.8456625,200,154,0.77,0.24,7.942439999999998,264.74799999999993,6666.666666666667
300.0,nearterm_1e-10,characterization,2592000.0,1e-10,1.1344575000000001,0.6593950000000001,0.8456625,200,200,1.0,0.24,31.650960000000005,1055.0320000000002,6666.666666666667
300.0,goal_1e-11,characterization,2592000.0,1e-11,1.1344575000000001,0.7608324999999999,0.8456625,200,200,1.0,0.24,36.51996,1217.3319999999999,6666.666666666667
1000.0,current_1e-9,characterization,2592000.0,1e-09,0.34033725,0.2413775,0.9880324999999999,200,163,0.815,0.24,11.58612,386.204,6666.666666666667
1000.0,nearterm_1e-10,characterization,2592000.0,1e-10,0.34033725,0.78372,0.9880324999999999,200,200,1.0,0.24,37.618559999999995,1253.9519999999998,6666.666666666667
1000.0,goal_1e-11,characterization,2592000.0,1e-11,0.34033725,0.9411099999999999,0.9880324999999999,200,200,1.0,0.24,45.17327999999999,1505.7759999999998,6666.666666666667
