aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est
4.0,current_1e-9,characterization,86400.0,1e-09,85.08431250000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
4.0,nearterm_1e-10,characterization,86400.0,1e-10,85.08431250000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
4.0,goal_1e-11,characterization,86400.0,1e-11,85.08431250000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
6.0,current_1e-9,characterization,86400.0,1e-09,56.72287500000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
6.0,nearterm_1e-10,characterization,86400.0,1e-10,56.72287500000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
6.0,goal_1e-11,characterization,86400.0,1e-11,56.72287500000001,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
8.0,current_1e-9,characterization,86400.0,1e-09,42.542156250000005,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
8.0,nearterm_1e-10,characterization,86400.0,1e-10,42.542156250000005,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
8.0,goal_1e-11,characterization,86400.0,1e-11,42.542156250000005,0.0,0.0,200,0,0.0,0.24,0.0,0.0,6666.666666666667
15.0,current_1e-9,characterization,86400.0,1e-09,22.68915,0.0,0.0003625,200,0,0.0,0.24,0.0,0.0,6666.666666666667
15.0,nearterm_1e-10,characterization,86400.0,1e-10,22.68915,0.0,0.0003625,200,0,0.0,0.24,0.0,0.0,6666.666666666667
15.0,goal_1e-11,characterization,86400.0,1e-11,22.68915,0.0,0.0003625,200,0,0.0,0.24,0.0,0.0,6666.666666666667
30.0,current_1e-9,characterization,86400.0,1e-09,11.344575,0.00034500000000000004,0.0064525,200,1,0.005,0.24,0.016560000000000002,0.552,6666.666666666667
30.0,nearterm_1e-10,characterization,86400.0,1e-10,11.344575,0.0015575,0.0064525,200,1,0.005,0.24,0.07476,2.492,6666.666666666667
30.0,goal_1e-11,characterization,86400.0,1e-11,11.344575,0.00161,0.0064525,200,1,0.005,0.24,0.07728,2.576,6666.666666666667
100.0,current_1e-9,characterization,86400.0,1e-09,3.4033725000000006,0.0035150000000000003,0.2138825,200,3,0.015,0.24,0.16872,5.6240000000000006,6666.666666666667
100.0,nearterm_1e-10,characterization,86400.0,1e-10,3.4033725000000006,0.0184875,0.2138825,200,16,0.08,0.24,0.8874000000000001,29.580000000000005,6666.666666666667
100.0,goal_1e-11,characterization,86400.0,1e-11,3.4033725000000006,0.020595,0.2138825,200,16,0.08,0.24,0.9885599999999999,32.952,6666.666666666667
300.0,current_1e-9,characterization,86400.0,1e-09,1.1344575000000001,0.10859,0.8456625,200,129,0.645,0.24,5.21232,173.744,6666.666666666667
300.0,nearterm_1e-10,characterization,86400.0,1e-10,1.1344575000000001,0.43815,0.8456625,200,191,0.955,0.24,21.0312,701.04,6666.666666666667
300.0,goal_1e-11,characterization,86400.0,1e-11,1.1344575000000001,0.481715,0.8456625,200,192,0.96,0.24,23.12232,770.744,6666.666666666667
1000.0,current_1e-9,characterization,86400.0,1e-09,0.34033725,0.23544249999999997,0.9880324999999999,200,163,0.815,0.24,11.301239999999998,376.70799999999997,6666.666666666667
1000.0,nearterm_1e-10,characterization,86400.0,1e-10,0.34033725,0.7598999999999999,0.9880324999999999,200,200,1.0,0.24,36.475199999999994,1215.84,6666.666666666667
1000.0,goal_1e-11,characterization,86400.0,1e-11,0.34033725,0.888135,0.9880324999999999,200,200,1.0,0.24,42.63048,1421.016,6666.666666666667
