aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est,completeness_mean,completeness_lo,completeness_hi,frac_accessible_lo,frac_accessible_hi,E_yield_local_mean,E_yield_local_lo,E_yield_local_hi
4.0,current_1e-9,characterization,21600.0,1e-09,85.08431250000001,0.0,5.999999999999999e-06,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,nearterm_1e-10,characterization,21600.0,1e-10,85.08431250000001,0.0,5.999999999999999e-06,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,goal_1e-11,characterization,21600.0,1e-11,85.08431250000001,0.0,5.999999999999999e-06,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,current_1e-9,characterization,21600.0,1e-09,56.72287500000001,0.0,0.00012466666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,nearterm_1e-10,characterization,21600.0,1e-10,56.72287500000001,0.0,0.00012466666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,goal_1e-11,characterization,21600.0,1e-11,56.72287500000001,0.0,0.00012466666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,current_1e-9,characterization,21600.0,1e-09,42.542156250000005,0.0,0.0003786666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,nearterm_1e-10,characterization,21600.0,1e-10,42.542156250000005,0.0,0.0003786666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,goal_1e-11,characterization,21600.0,1e-11,42.542156250000005,0.0,0.0003786666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,current_1e-9,characterization,21600.0,1e-09,28.361437500000005,6.666666666666667e-07,0.0011026666666666667,1500,24409,0,0.0,0.24,0.00390544,0.13018133333333334,813633.3333333334,6.226666666666666e-07,0.0,1.3333333333333334e-06,0.0,0.0,0.12158936533333334,0.0,0.2603626666666667
12.0,nearterm_1e-10,characterization,21600.0,1e-10,28.361437500000005,4.4e-05,0.0011026666666666667,1500,24409,1,0.0006666666666666666,0.24,0.25775904,8.591968,813633.3333333334,4.4e-05,0.0,8.8e-05,0.0,0.0013333333333333333,8.591968,0.0,17.183936
12.0,goal_1e-11,characterization,21600.0,1e-11,28.361437500000005,4.8666666666666666e-05,0.0011026666666666667,1500,24409,1,0.0006666666666666666,0.24,0.28509712,9.503237333333333,813633.3333333334,5.0418666666666666e-05,0.0,9.733333333333333e-05,0.0,0.0013333333333333333,9.845353877333332,0.0,19.006474666666666
15.0,current_1e-9,characterization,21600.0,1e-09,22.68915,1.866666666666667e-05,0.0018593333333333337,1500,24409,0,0.0,0.24,0.10935232,3.6450773333333335,813633.3333333334,1.7845333333333333e-05,0.0,3.733333333333334e-05,0.0,0.0,3.4846939306666673,0.0,7.290154666666667
15.0,nearterm_1e-10,characterization,21600.0,1e-10,22.68915,0.00013866666666666666,0.0018593333333333337,1500,24409,1,0.0006666666666666666,0.24,0.81233152,27.077717333333332,813633.3333333334,0.00013561600000000002,0.0,0.0002773333333333333,0.0,0.0013333333333333333,26.482007552,0.0,54.155434666666665
15.0,goal_1e-11,characterization,21600.0,1e-11,22.68915,0.00015466666666666667,0.0018593333333333337,1500,24409,1,0.0006666666666666666,0.24,0.9060620799999999,30.20206933333333,813633.3333333334,0.00015776,0.0,0.00030933333333333334,0.0,0.0013333333333333333,30.80611072,0.0,60.40413866666666
20.0,current_1e-9,characterization,21600.0,1e-09,17.016862500000002,4.4e-05,0.003656666666666666,1500,24409,1,0.0006666666666666666,0.24,0.25775904,8.591968,813633.3333333334,4.356e-05,0.0,8.8e-05,0.0,0.0013333333333333333,8.506048320000001,0.0,17.183936
20.0,nearterm_1e-10,characterization,21600.0,1e-10,17.016862500000002,0.00027400000000000005,0.003656666666666666,1500,24409,1,0.0006666666666666666,0.24,1.6051358400000002,53.50452800000001,813633.3333333334,0.000286708,5.999999999999999e-06,0.0005420000000000001,0.0,0.0013333333333333333,55.986044576000005,1.1716319999999998,105.83742400000001
20.0,goal_1e-11,characterization,21600.0,1e-11,17.016862500000002,0.00031066666666666666,0.003656666666666666,1500,24409,1,0.0006666666666666666,0.24,1.8199350399999998,60.66450133333333,813633.3333333334,0.00031363733333333334,1.1333333333333334e-05,0.00061,0.0,0.0013333333333333333,61.244589354666665,2.2130826666666668,119.11591999999999
30.0,current_1e-9,characterization,21600.0,1e-09,11.344575,0.00010800000000000001,0.010088666666666666,1500,24409,1,0.0006666666666666666,0.24,0.63268128,21.089376,813633.3333333334,0.00011245733333333335,3.1333333333333334e-05,0.00018066666666666668,0.0,0.0013333333333333333,21.959768394666664,6.118522666666667,35.279141333333335
30.0,nearterm_1e-10,characterization,21600.0,1e-10,11.344575,0.0007506666666666666,0.010088666666666666,1500,24409,4,0.0026666666666666666,0.24,4.39752544,146.58418133333333,813633.3333333334,0.0007546920000000001,0.0002953333333333333,0.0012566666666666666,0.0013333333333333333,0.004,147.370216224,57.67033066666667,245.3918133333333
30.0,goal_1e-11,characterization,21600.0,1e-11,11.344575,0.0008393333333333333,0.010088666666666666,1500,24409,4,0.0026666666666666666,0.24,4.91694896,163.89829866666668,813633.3333333334,0.0008833119999999999,0.00036288000000000005,0.0014146666666666665,0.0013333333333333333,0.004,172.48610086399998,70.86030336,276.2447893333333
50.0,current_1e-9,characterization,21600.0,1e-09,6.806745000000001,0.0002046666666666667,0.039030666666666665,1500,24409,2,0.0013333333333333333,0.24,1.19897008,39.96566933333334,813633.3333333334,0.00020603199999999998,9.456e-05,0.0003267733333333333,0.0006666666666666666,0.002,40.232280704000004,18.46492032,63.80968234666666
50.0,nearterm_1e-10,characterization,21600.0,1e-10,6.806745000000001,0.0019586666666666663,0.039030666666666665,1500,24409,11,0.007333333333333333,0.24,11.474182719999998,382.4727573333333,813633.3333333334,0.0019514706666666668,0.0011887999999999998,0.002714559999999999,0.005333333333333333,0.01,381.06758002133336,232.13935360000002,530.0775603199999
50.0,goal_1e-11,characterization,21600.0,1e-11,6.806745000000001,0.0022520000000000005,0.039030666666666665,1500,24409,12,0.008,0.24,13.192576320000002,439.7525440000001,813633.3333333334,0.0022611040000000003,0.001346346666666667,0.0031655466666666667,0.006,0.010666666666666666,441.53030028800003,262.9038062933334,618.1426286933333
80.0,current_1e-9,characterization,21600.0,1e-09,4.2542156250000005,0.0008526666666666666,0.13608466666666666,1500,24409,6,0.004,0.24,4.99505776,166.50192533333333,813633.3333333334,0.0008382306666666667,0.0005838933333333333,0.00108344,0.002,0.005333333333333333,163.68297874133336,114.01801898666668,211.56549568
80.0,nearterm_1e-10,characterization,21600.0,1e-10,4.2542156250000005,0.00648,0.13608466666666666,1500,24409,34,0.02266666666666667,0.24,37.960876799999994,1265.3625599999998,813633.3333333334,0.006435548000000001,0.005168293333333333,0.0076567733333333336,0.018666666666666668,0.026,1256.6823290559998,1009.2229757866667,1495.1534423466667
