source_id,ra,dec,distance_pc,teff_gspphot,logg_gspphot,lum_flame,phot_g_mean_mag,hz_inner_m,hz_outer_m
3267929947104804096,51.98086835565923,1.3687693064123154,275.15141883393215,4200.12,4.572,0.1331513,15.064011,51858711605.110176,91162156190.03577
5642877846246495360,132.18993103830218,-28.36626799387149,298.6604960009827,4126.4243,4.6893,0.086562276,15.634264,41813194708.3157,73503194908.30232
6603465041679231872,342.0752951074827,-33.429739732998094,158.22232053263133,4975.6226,4.4976,0.3767416,11.948106,87230990980.25388,153342899933.7094
2046526391572691328,293.6118048185264,34.343384018266754,285.17279796587667,5031.399,4.6076,0.33137882,13.353279,81810941546.90338,143815023561.39856
1016789806037687424,132.79604631892312,50.70136500915918,177.89679016048072,4918.096,4.5551,0.30218622,12.350231,78124337123.44241,137334361048.57771
5679711000438989312,139.2479021214168,-19.9629200100692,282.56537539027244,4571.229,4.7718,0.23823172,15.220277,69366344824.91731,121938732481.69675
2995683893041962368,89.18125110573989,-14.406778733375775,279.73305317885365,4228.7188,4.4093,0.22067043,13.918858,66760731708.97322,117358338898.93187
5953737099445742848,259.1006879579178,-42.246847473281605,276.91350211160915,5072.6123,4.5755,0.33419797,13.701827,82158201013.05598,144425469149.2668
4615401513032729088,52.55436545551383,-84.13123890613318,216.4108662161034,4247.947,4.6588,0.12035016,14.667547,49302887292.9507,86669286083.39755
3004510772390701696,94.89984375530886,-10.206978623972743,244.89776597148048,4523.6025,4.639,0.17827742,13.867529,60006346789.31183,105484841198.05342
4069792782145982080,271.97512565163373,-21.9198633483205,173.25079990749146,4505.2285,4.6129,0.15251978,13.783944,55502443374.492905,97567453089.89806
5814108395520777856,260.0024135109209,-64.01523344016711,230.6403471893984,4573.7144,4.5962,0.1999153,13.595105,63543631913.813965,111703016101.12561
5962272505153840896,264.6611555594082,-37.641914642771184,188.360025932201,4914.4526,4.577,0.30664337,12.575891,78698382605.49057,138343472580.17816
2149291627370030336,274.0872897318571,55.02240423668746,278.44840832038267,4085.266,4.6136,0.12050711,15.276725,49335025044.04435,86725780866.89902
1323478680316848256,240.3067736957656,33.78794128433511,277.2927524290301,5351.7827,4.4398,0.6909931,12.322986,118136982209.82574,207672379253.0621
5260504054704228736,90.34309772251532,-77.30512516305403,174.2234629791894,4601.6626,4.6402,0.20349781,13.067603,64110459147.816765,112699438712.47789
5841541455445538432,180.52053793559944,-73.90827290614074,272.90482812676186,5287.355,4.5447,0.42220676,13.323394,92344622150.09068,162332125253.31732
3867940039451965952,165.0957416067055,10.30422002303029,202.50338611371885,4293.131,4.6086,0.15083623,13.762251,55195268698.47243,97027472343.63048
87878642944408960,39.459351971271865,20.10651097885789,245.59081113205016,4297.4673,4.6418,0.12803073,14.751658,50851776343.17741,89392069992.74344
3151482384299373696,116.25005565707366,11.32381800571184,159.62662733099359,5108.304,4.5962,0.33666635,12.012467,82461052301.8043,144957849835.80334
6181044017297795968,196.2939354163993,-30.87347451684905,110.76086017176816,4526.1016,4.5644,0.18873566,12.024741,61741332676.24745,108534763757.19289
803645216387486720,151.1237308326337,40.10832442659863,160.19019400794085,4421.172,4.6264,0.14920898,13.147517,54896732809.87179,96502677676.30093
5914174364643486592,256.77920959498886,-60.20868063446405,222.1843268850087,4750.927,4.4033,0.4640323,12.553842,96810647126.27664,170182927053.56
4797122403959920768,82.39790649374756,-48.10938034561245,184.59806545260932,4618.2847,4.6437,0.20728584,13.188132,64704403108.93421,113743529675.70541
2575048093288905088,26.940100636120626,11.630462714509594,167.54651408537228,4204.69,4.6542,0.12339642,13.915113,49922956552.780464,87759302571.72987
4229058961259584256,307.7711944935285,-1.3344442328653292,150.11702474784923,4829.321,4.5276,0.3212212,11.971553,80547324160.6636,141593717208.74548
4561522831932945920,254.37528119213647,20.04280678907025,174.37317071640638,4604.69,4.5718,0.24473618,12.77771,70306925346.1106,123592174029.47864
2208326773198648320,343.05318740334064,63.83100606560418,179.902579808979,4787.8574,4.5439,0.31617656,12.430099,79912340817.97475,140477483332.65036
6094128791359632256,211.50869679663995,-48.182350687601726,166.64805846366795,4907.656,4.5953,0.26103327,12.931719,72610085687.92355,127640887472.45511
2769623267282593152,3.268504451520806,16.372134197647934,218.88459308576793,5309.7935,4.5029,0.55210036,12.112214,105598568883.8944,185631168459.05646
5660807578058341120,148.8490558643404,-23.18831696044939,249.092966125237,4628.3047,4.5934,0.20913988,13.626277,64993128795.38796,114251079040.31358
296496818102428544,20.026487392111928,27.491163979390528,219.34914625966573,4753.1543,4.5272,0.26685587,12.986562,73415438568.8796,129056613063.18835
158752853233960704,68.94256915438129,28.7298324077926,215.79844658591395,4032.7236,4.6088,0.10707381,15.744784,46504035935.505974,81749200012.9421
2259514678757235200,278.12379463355416,69.68753731285905,289.4009311360441,4413.889,4.6702,0.16287261,14.593346,57355232591.76288,100824461503.41473
4227855172121285760,310.5139892477381,-0.4043236780945135,174.15300868274068,4192.8584,4.5377,0.14764166,13.806907,54607648704.55407,95994498249.05821
2196000977264781056,314.44241733931887,62.4951675091443,242.0958895032326,4540.713,4.6059,0.16696942,13.974669,58072094031.86232,102084628456.01059
1422765267499632640,269.5958611140116,58.95764479022307,267.9988949827982,4917.602,4.6138,0.2863798,13.353486,76053675623.5599,133694356096.15266
5351303408563334912,161.6187706640257,-56.79232716260708,121.9295171563585,5056.8584,4.7012,0.18771587,13.959732,61574304156.00327,108241145200.55313
