aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est
4.0,current_1e-9,detection,300.0,1e-09,85.08431250000001,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
4.0,nearterm_1e-10,detection,300.0,1e-10,85.08431250000001,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
4.0,goal_1e-11,detection,300.0,1e-11,85.08431250000001,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
6.0,current_1e-9,detection,300.0,1e-09,56.72287500000001,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
6.0,nearterm_1e-10,detection,300.0,1e-10,56.72287500000001,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
6.0,goal_1e-11,detection,300.0,1e-11,56.72287500000001,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
8.0,current_1e-9,detection,300.0,1e-09,42.542156250000005,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
8.0,nearterm_1e-10,detection,300.0,1e-10,42.542156250000005,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
8.0,goal_1e-11,detection,300.0,1e-11,42.542156250000005,0.0,0.0,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
12.0,current_1e-9,detection,300.0,1e-09,28.361437500000005,0.0,4.7499999999999996e-05,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
12.0,nearterm_1e-10,detection,300.0,1e-10,28.361437500000005,0.0,4.7499999999999996e-05,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
12.0,goal_1e-11,detection,300.0,1e-11,28.361437500000005,0.0,4.7499999999999996e-05,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
15.0,current_1e-9,detection,300.0,1e-09,22.68915,0.0,0.0003625,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
15.0,nearterm_1e-10,detection,300.0,1e-10,22.68915,0.0,0.0003625,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
15.0,goal_1e-11,detection,300.0,1e-11,22.68915,0.0,0.0003625,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
20.0,current_1e-9,detection,300.0,1e-09,17.016862500000002,0.0,0.00194,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
20.0,nearterm_1e-10,detection,300.0,1e-10,17.016862500000002,0.0,0.00194,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
20.0,goal_1e-11,detection,300.0,1e-11,17.016862500000002,0.0,0.00194,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
30.0,current_1e-9,detection,300.0,1e-09,11.344575,0.0,0.0064525,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
30.0,nearterm_1e-10,detection,300.0,1e-10,11.344575,0.0,0.0064525,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
30.0,goal_1e-11,detection,300.0,1e-11,11.344575,0.0,0.0064525,200,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
50.0,current_1e-9,detection,300.0,1e-09,6.806745000000001,8e-05,0.024482499999999997,200,24409,0,0.0,0.24,0.46865280000000004,15.621760000000002,813633.3333333334
50.0,nearterm_1e-10,detection,300.0,1e-10,6.806745000000001,0.0003925,0.024482499999999997,200,24409,1,0.005,0.24,2.2993278,76.64426,813633.3333333334
50.0,goal_1e-11,detection,300.0,1e-11,6.806745000000001,0.00042750000000000004,0.024482499999999997,200,24409,1,0.005,0.24,2.5043634,83.47878,813633.3333333334
80.0,current_1e-9,detection,300.0,1e-09,4.2542156250000005,0.0006525,0.11962499999999998,200,24409,1,0.005,0.24,3.8224493999999996,127.41497999999999,813633.3333333334
