aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est,completeness_mean,completeness_lo,completeness_hi,frac_accessible_lo,frac_accessible_hi,E_yield_local_mean,E_yield_local_lo,E_yield_local_hi
4.0,current_1e-9,detection,300.0,1e-09,85.08431250000001,0.0,5.999999999999999e-06,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,nearterm_1e-10,detection,300.0,1e-10,85.08431250000001,0.0,5.999999999999999e-06,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,goal_1e-11,detection,300.0,1e-11,85.08431250000001,0.0,5.999999999999999e-06,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,current_1e-9,detection,300.0,1e-09,56.72287500000001,0.0,0.00012466666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,nearterm_1e-10,detection,300.0,1e-10,56.72287500000001,0.0,0.00012466666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,goal_1e-11,detection,300.0,1e-11,56.72287500000001,0.0,0.00012466666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,current_1e-9,detection,300.0,1e-09,42.542156250000005,0.0,0.0003786666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,nearterm_1e-10,detection,300.0,1e-10,42.542156250000005,0.0,0.0003786666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,goal_1e-11,detection,300.0,1e-11,42.542156250000005,0.0,0.0003786666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,current_1e-9,detection,300.0,1e-09,28.361437500000005,0.0,0.0011026666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,nearterm_1e-10,detection,300.0,1e-10,28.361437500000005,0.0,0.0011026666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,goal_1e-11,detection,300.0,1e-11,28.361437500000005,0.0,0.0011026666666666667,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,current_1e-9,detection,300.0,1e-09,22.68915,0.0,0.0018593333333333337,1500,24409,0,0.0,0.24,0.0,0.0,813633.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,nearterm_1e-10,detection,300.0,1e-10,22.68915,3.3333333333333333e-06,0.0018593333333333337,1500,24409,0,0.0,0.24,0.019527199999999998,0.6509066666666666,813633.3333333334,3.2599999999999997e-06,0.0,6.666666666666667e-06,0.0,0.0,0.63658672,0.0,1.3018133333333333
15.0,goal_1e-11,detection,300.0,1e-11,22.68915,3.3333333333333333e-06,0.0018593333333333337,1500,24409,0,0.0,0.24,0.019527199999999998,0.6509066666666666,813633.3333333334,3.3999999999999996e-06,0.0,6.666666666666667e-06,0.0,0.0,0.6639248,0.0,1.3018133333333333
20.0,current_1e-9,detection,300.0,1e-09,17.016862500000002,8.666666666666666e-06,0.003656666666666666,1500,24409,0,0.0,0.24,0.05077072,1.6923573333333333,813633.3333333334,8.580000000000001e-06,0.0,1.7333333333333332e-05,0.0,0.0,1.6754337600000002,0.0,3.3847146666666665
20.0,nearterm_1e-10,detection,300.0,1e-10,17.016862500000002,3.4666666666666665e-05,0.003656666666666666,1500,24409,1,0.0006666666666666666,0.24,0.20308288,6.769429333333333,813633.3333333334,3.633066666666666e-05,0.0,6.933333333333333e-05,0.0,0.0013333333333333333,7.094361941333333,0.0,13.538858666666666
