aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est
4.0,current_1e-9,detection,3600.0,1e-09,85.08431250000001,0.0,2.2499999999999996e-06,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
4.0,nearterm_1e-10,detection,3600.0,1e-10,85.08431250000001,0.0,2.2499999999999996e-06,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
4.0,goal_1e-11,detection,3600.0,1e-11,85.08431250000001,0.0,2.2499999999999996e-06,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
6.0,current_1e-9,detection,3600.0,1e-09,56.72287500000001,0.0,8.325e-05,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
6.0,nearterm_1e-10,detection,3600.0,1e-10,56.72287500000001,0.0,8.325e-05,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
6.0,goal_1e-11,detection,3600.0,1e-11,56.72287500000001,0.0,8.325e-05,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
8.0,current_1e-9,detection,3600.0,1e-09,42.542156250000005,0.0,0.00025675,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
8.0,nearterm_1e-10,detection,3600.0,1e-10,42.542156250000005,0.0,0.00025675,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
8.0,goal_1e-11,detection,3600.0,1e-11,42.542156250000005,0.0,0.00025675,2000,24409,0,0.0,0.24,0.0,0.0,813633.3333333334
12.0,current_1e-9,detection,3600.0,1e-09,28.361437500000005,7.499999999999999e-06,0.0008237499999999999,2000,24409,0,0.0,0.24,0.043936199999999995,1.46454,813633.3333333334
12.0,nearterm_1e-10,detection,3600.0,1e-10,28.361437500000005,0.000106,0.0008237499999999999,2000,24409,1,0.0005,0.24,0.62096496,20.698832,813633.3333333334
12.0,goal_1e-11,detection,3600.0,1e-11,28.361437500000005,0.00011475000000000001,0.0008237499999999999,2000,24409,1,0.0005,0.24,0.67222386,22.407462000000002,813633.3333333334
15.0,current_1e-9,detection,3600.0,1e-09,22.68915,2.95e-05,0.0014824999999999999,2000,24409,1,0.0005,0.24,0.17281571999999998,5.760523999999999,813633.3333333334
15.0,nearterm_1e-10,detection,3600.0,1e-10,22.68915,0.000208,0.0014824999999999999,2000,24409,1,0.0005,0.24,1.21849728,40.616576,813633.3333333334
15.0,goal_1e-11,detection,3600.0,1e-11,22.68915,0.00022625,0.0014824999999999999,2000,24409,1,0.0005,0.24,1.3254086999999999,44.18029,813633.3333333334
20.0,current_1e-9,detection,3600.0,1e-09,17.016862500000002,5.2249999999999996e-05,0.003337,2000,24409,1,0.0005,0.24,0.30608885999999996,10.202962,813633.3333333334
20.0,nearterm_1e-10,detection,3600.0,1e-10,17.016862500000002,0.0003595,0.003337,2000,24409,2,0.001,0.24,2.10600852,70.20028400000001,813633.3333333334
20.0,goal_1e-11,detection,3600.0,1e-11,17.016862500000002,0.00039425,0.003337,2000,24409,2,0.001,0.24,2.30957958,76.985986,813633.3333333334
30.0,current_1e-9,detection,3600.0,1e-09,11.344575,0.00011325000000000002,0.01046125,2000,24409,2,0.001,0.24,0.6634366200000001,22.114554000000005,813633.3333333334
30.0,nearterm_1e-10,detection,3600.0,1e-10,11.344575,0.0008742499999999999,0.01046125,2000,24409,5,0.0025,0.24,5.121496379999999,170.71654599999997,813633.3333333334
30.0,goal_1e-11,detection,3600.0,1e-11,11.344575,0.0009830000000000001,0.01046125,2000,24409,5,0.0025,0.24,5.758571280000001,191.95237600000004,813633.3333333334
50.0,current_1e-9,detection,3600.0,1e-09,6.806745000000001,0.00038475,0.04044475,2000,24409,5,0.0025,0.24,2.25392706,75.130902,813633.3333333334
50.0,nearterm_1e-10,detection,3600.0,1e-10,6.806745000000001,0.00324225,0.04044475,2000,24409,20,0.01,0.24,18.99361926,633.120642,813633.3333333334
50.0,goal_1e-11,detection,3600.0,1e-11,6.806745000000001,0.0036872499999999996,0.04044475,2000,24409,24,0.012,0.24,21.600500459999996,720.0166819999998,813633.3333333334
80.0,current_1e-9,detection,3600.0,1e-09,4.2542156250000005,0.0016557500000000003,0.14026525,2000,24409,19,0.0095,0.24,9.699648420000003,323.3216140000001,813633.3333333334
80.0,nearterm_1e-10,detection,3600.0,1e-10,4.2542156250000005,0.0124865,0.14026525,2000,24409,85,0.0425,0.24,73.14791484,2438.263828,813633.3333333334
80.0,goal_1e-11,detection,3600.0,1e-11,4.2542156250000005,0.014283999999999998,0.14026525,2000,24409,89,0.0445,0.24,83.67795743999999,2789.2652479999997,813633.3333333334
120.0,current_1e-9,detection,3600.0,1e-09,2.83614375,0.0058605,0.33494399999999996,2000,24409,69,0.0345,0.24,34.33174668,1144.391556,813633.3333333334
120.0,nearterm_1e-10,detection,3600.0,1e-10,2.83614375,0.037442750000000004,0.33494399999999996,2000,24409,245,0.1225,0.24,219.34562034000004,7311.520678000002,813633.3333333334
120.0,goal_1e-11,detection,3600.0,1e-11,2.83614375,0.042550250000000005,0.33494399999999996,2000,24409,254,0.127,0.24,249.26617254,8308.872418,813633.3333333334
200.0,current_1e-9,detection,3600.0,1e-09,1.7016862500000003,0.026688000000000003,0.6634337499999999,2000,24409,306,0.153,0.24,156.34257408000002,5211.419136,813633.3333333334
200.0,nearterm_1e-10,detection,3600.0,1e-10,1.7016862500000003,0.15073075,0.6634337499999999,2000,24409,1048,0.524,0.24,883.00485042,29433.495014000004,813633.3333333334
200.0,goal_1e-11,detection,3600.0,1e-11,1.7016862500000003,0.17007774999999997,0.6634337499999999,2000,24409,1082,0.541,0.24,996.3426719399998,33211.422397999995,813633.3333333334
300.0,current_1e-9,detection,3600.0,1e-09,1.1344575000000001,0.08435899999999998,0.85278225,2000,24409,977,0.4885,0.24,494.1885194399998,16472.950647999995,813633.3333333334
300.0,nearterm_1e-10,detection,3600.0,1e-10,1.1344575000000001,0.37172475,0.85278225,2000,24409,1855,0.9275,0.24,2177.62306146,72587.435382,813633.3333333334
300.0,goal_1e-11,detection,3600.0,1e-11,1.1344575000000001,0.414775,0.85278225,2000,24409,1864,0.932,0.24,2429.818314,80993.94380000001,813633.3333333334
500.0,current_1e-9,detection,3600.0,1e-09,0.6806745,0.174861,0.9516895,2000,24409,1514,0.757,0.24,1024.3637157599999,34145.457191999994,813633.3333333334
500.0,nearterm_1e-10,detection,3600.0,1e-10,0.6806745,0.61612525,0.9516895,2000,24409,1998,0.999,0.24,3609.36029454,120312.00981799999,813633.3333333334
500.0,goal_1e-11,detection,3600.0,1e-11,0.6806745,0.6953055,0.9516895,2000,24409,1998,0.999,0.24,4073.21086788,135773.695596,813633.3333333334
700.0,current_1e-9,detection,3600.0,1e-09,0.48619607142857146,0.20346475,0.9760297499999999,2000,24409,1541,0.7705,0.24,1191.92905986,39730.96866200001,813633.3333333334
700.0,nearterm_1e-10,detection,3600.0,1e-10,0.48619607142857146,0.6981257499999999,0.9760297499999999,2000,24409,2000,1.0,0.24,4089.732343619999,136324.411454,813633.3333333334
700.0,goal_1e-11,detection,3600.0,1e-11,0.48619607142857146,0.80237075,0.9760297499999999,2000,24409,2000,1.0,0.24,4700.41623282,156680.54109400001,813633.3333333334
1000.0,current_1e-9,detection,3600.0,1e-09,0.34033725,0.21817674999999997,0.9884992499999999,2000,24409,1555,0.7775,0.24,1278.1143097799998,42603.81032599999,813633.3333333334
1000.0,nearterm_1e-10,detection,3600.0,1e-10,0.34033725,0.7426785,0.9884992499999999,2000,24409,2000,1.0,0.24,4350.72948156,145024.316052,813633.3333333334
1000.0,goal_1e-11,detection,3600.0,1e-11,0.34033725,0.871328,0.9884992499999999,2000,24409,2000,1.0,0.24,5104.378836479999,170145.961216,813633.3333333334
